날짜,역명,Passengers,Weekend,Post,Year,Date
2022-05-20,신용산,7489,0,1,2022,1990-05-20
2022-05-23,녹사평(용산구청),1312,0,1,2022,1990-05-23
2022-05-23,삼각지,3441,0,1,2022,1990-05-23
2022-05-23,신용산,8317,0,1,2022,1990-05-23
2022-05-24,녹사평(용산구청),1327,0,1,2022,1990-05-24
2022-05-24,삼각지,3819,0,1,2022,1990-05-24
2022-05-24,신용산,8336,0,1,2022,1990-05-24
2022-05-25,녹사평(용산구청),1416,0,1,2022,1990-05-25
2022-05-25,삼각지,3635,0,1,2022,1990-05-25
2022-05-25,신용산,8223,0,1,2022,1990-05-25
2022-05-26,녹사평(용산구청),1462,0,1,2022,1990-05-26
2022-05-26,삼각지,3890,0,1,2022,1990-05-26
2022-05-26,신용산,8173,0,1,2022,1990-05-26
2022-05-27,녹사평(용산구청),1396,0,1,2022,1990-05-27
2022-05-27,삼각지,3865,0,1,2022,1990-05-27
2022-05-27,신용산,7420,0,1,2022,1990-05-27
2022-05-30,녹사평(용산구청),1347,0,1,2022,1990-05-30
2022-05-30,삼각지,3447,0,1,2022,1990-05-30
2022-05-30,신용산,8559,0,1,2022,1990-05-30
2022-05-31,녹사평(용산구청),1409,0,1,2022,1990-05-31
2022-05-31,삼각지,3847,0,1,2022,1990-05-31
2022-05-31,신용산,8249,0,1,2022,1990-05-31
2021-01-01,녹사평(용산구청),213,0,0,2021,1990-01-01
2021-01-01,삼각지,263,0,0,2021,1990-01-01
2021-01-01,신용산,653,0,0,2021,1990-01-01
2021-01-04,녹사평(용산구청),1038,0,0,2021,1990-01-04
2021-01-04,삼각지,2776,0,0,2021,1990-01-04
2021-01-04,신용산,6070,0,0,2021,1990-01-04
2021-01-05,녹사평(용산구청),1098,0,0,2021,1990-01-05
2021-01-05,삼각지,2938,0,0,2021,1990-01-05
2021-01-05,신용산,6009,0,0,2021,1990-01-05
2021-01-06,녹사평(용산구청),1085,0,0,2021,1990-01-06
2021-01-06,삼각지,2822,0,0,2021,1990-01-06
2021-01-06,신용산,5822,0,0,2021,1990-01-06
2021-01-07,녹사평(용산구청),1265,0,0,2021,1990-01-07
2021-01-07,삼각지,4342,0,0,2021,1990-01-07
2021-01-07,신용산,6324,0,0,2021,1990-01-07
2021-01-08,녹사평(용산구청),1110,0,0,2021,1990-01-08
2021-01-08,삼각지,2885,0,0,2021,1990-01-08
2021-01-08,신용산,5993,0,0,2021,1990-01-08
2021-01-11,녹사평(용산구청),1063,0,0,2021,1990-01-11
2021-01-11,삼각지,2826,0,0,2021,1990-01-11
2021-01-11,신용산,6298,0,0,2021,1990-01-11
2021-01-12,녹사평(용산구청),1119,0,0,2021,1990-01-12
2021-01-12,삼각지,2974,0,0,2021,1990-01-12
2021-01-12,신용산,6205,0,0,2021,1990-01-12
2021-01-13,녹사평(용산구청),1226,0,0,2021,1990-01-13
2021-01-13,삼각지,3114,0,0,2021,1990-01-13
2021-01-13,신용산,6469,0,0,2021,1990-01-13
2021-01-14,녹사평(용산구청),1147,0,0,2021,1990-01-14
2021-01-14,삼각지,2970,0,0,2021,1990-01-14
2021-01-14,신용산,6061,0,0,2021,1990-01-14
2021-01-15,녹사평(용산구청),1157,0,0,2021,1990-01-15
2021-01-15,삼각지,2898,0,0,2021,1990-01-15
2021-01-15,신용산,5945,0,0,2021,1990-01-15
2021-01-18,녹사평(용산구청),1137,0,0,2021,1990-01-18
2021-01-18,삼각지,3210,0,0,2021,1990-01-18
2021-01-18,신용산,6537,0,0,2021,1990-01-18
2021-01-19,녹사평(용산구청),1083,0,0,2021,1990-01-19
2021-01-19,삼각지,3147,0,0,2021,1990-01-19
2021-01-19,신용산,6342,0,0,2021,1990-01-19
2021-01-20,녹사평(용산구청),1194,0,0,2021,1990-01-20
2021-01-20,삼각지,3107,0,0,2021,1990-01-20
2021-01-20,신용산,6530,0,0,2021,1990-01-20
2021-01-21,녹사평(용산구청),1167,0,0,2021,1990-01-21
2021-01-21,삼각지,3079,0,0,2021,1990-01-21
2021-01-21,신용산,6348,0,0,2021,1990-01-21
2021-01-22,녹사평(용산구청),1214,0,0,2021,1990-01-22
2021-01-22,삼각지,3049,0,0,2021,1990-01-22
2021-01-22,신용산,6077,0,0,2021,1990-01-22
2021-01-25,녹사평(용산구청),1125,0,0,2021,1990-01-25
2021-01-25,삼각지,3060,0,0,2021,1990-01-25
2021-01-25,신용산,6786,0,0,2021,1990-01-25
2021-01-26,녹사평(용산구청),1149,0,0,2021,1990-01-26
2021-01-26,삼각지,3181,0,0,2021,1990-01-26
2021-01-26,신용산,6815,0,0,2021,1990-01-26
2021-01-27,녹사평(용산구청),1159,0,0,2021,1990-01-27
2021-01-27,삼각지,3031,0,0,2021,1990-01-27
2021-01-27,신용산,6694,0,0,2021,1990-01-27
2021-01-28,녹사평(용산구청),1220,0,0,2021,1990-01-28
2021-01-28,삼각지,3047,0,0,2021,1990-01-28
2021-01-28,신용산,6922,0,0,2021,1990-01-28
2021-01-29,녹사평(용산구청),1122,0,0,2021,1990-01-29
2021-01-29,삼각지,2916,0,0,2021,1990-01-29
2021-01-29,신용산,6426,0,0,2021,1990-01-29
2021-02-01,녹사평(용산구청),1149,0,0,2021,1990-02-01
2021-02-01,삼각지,3041,0,0,2021,1990-02-01
2021-02-01,신용산,7137,0,0,2021,1990-02-01
2021-02-02,녹사평(용산구청),1145,0,0,2021,1990-02-02
2021-02-02,삼각지,3168,0,0,2021,1990-02-02
2021-02-02,신용산,7115,0,0,2021,1990-02-02
2021-02-03,녹사평(용산구청),1196,0,0,2021,1990-02-03
2021-02-03,삼각지,3187,0,0,2021,1990-02-03
2021-02-03,신용산,7016,0,0,2021,1990-02-03
2021-02-04,녹사평(용산구청),1183,0,0,2021,1990-02-04
